id,label,timeset,v_name,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
n0,A,,A,3,132.0,6.0,0.331328320802005,0.3578668683812421,5.79772780167847E-4,0.023461005,0.023461005,26,8.275934476658904E-4,0,0.0,0,0.05903776155533756
n1,AA＝,,AA＝,1,11.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n2,B,,B,4,123.0,6.0,0.3382804503582395,0.36659102370146396,7.821629403428934E-4,0.031873103,0.031873103,26,0.0010510133564242063,0,0.5,3,0.07898382102607145
n3,BUZZ,,BUZZ,1,6.0,6.0,0.33033483258370816,0.35247100353000677,0.0,0.01905232,0.01905232,30,3.866598142934365E-4,0,0.0,0,0.046477099574341846
n4,B・B,,B・B,1,24.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n5,C,,C,2,71.0,7.0,0.2834476843910806,0.3049816295655934,7.524874260333638E-5,0.007006042,0.007006042,26,6.67491147484159E-4,0,0.0,0,0.019822623478654787
n6,CAFY,,CAFY,12,173.0,6.0,0.3781464530892448,0.4110438729198193,0.004216210068058171,0.079600565,0.079600565,23,0.002546152279530749,0,0.3333333333333333,22,0.1909051825355527
n7,CC,,CC,1,11.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n8,CLOUD,,CLOUD,1,8.0,7.0,0.2796108291032149,0.2946689719760829,0.0,0.006809519,0.006809519,21,3.6623423381204183E-4,0,0.0,0,0.015669976019232968
n9,CROWD,,CROWD,14,347.0,6.0,0.3536650615302301,0.38668683812405624,0.0014239293345849314,0.079945885,0.079945885,21,0.002786575897973814,0,0.2967032967032967,27,0.18515387188649274
n10,CS,,CS,3,44.0,7.0,0.2735927152317881,0.28806281968157943,0.005124260401005427,0.004098064,0.004098064,0,0.0014114034328266253,0,0.0,0,0.010583986510052176
n11,Compliance,,Compliance,4,36.0,7.0,0.26292760540970567,0.27732151862257737,0.0041564421997794,0.0029941525,0.0029941525,30,0.0013902139580691754,0,0.0,0,0.00866672566366185
n12,D,,D,2,19.0,7.0,0.2834476843910806,0.3049816295655934,7.524874260333638E-5,0.007006042,0.007006042,26,6.67491147484159E-4,0,0.0,0,0.019822623478654787
n13,DAU,,DAU,4,58.0,7.0,0.26891781936533765,0.2831208126215691,0.002589565844801797,0.0035655992,0.0035655992,31,0.001301709879217771,0,0.0,0,0.010147008976250179
n14,DD,,DD,3,44.0,7.0,0.2888986013986014,0.31095742381672825,9.86182483751509E-4,0.006461072,0.006461072,26,9.549120109623066E-4,0,0.0,0,0.01908895572021086
n15,E,,E,2,73.0,7.0,0.2834476843910806,0.3049816295655934,7.524874260333638E-5,0.007006042,0.007006042,26,6.67491147484159E-4,0,0.0,0,0.019822623478654787
n16,EE,,EE,1,7.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n17,EEE,,EEE,1,7.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n18,F,,F,1,16.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n19,FF,,FF,1,15.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
n20,FindTravel,,FindTravel,10,176.0,6.0,0.37749857224443173,0.40882501260716175,0.003664924959440673,0.06847368,0.06847368,4,0.0021685540056946427,0,0.3111111111111111,14,0.16735124784227098
n21,G,,G,1,52.0,7.0,0.27610693400167086,0.2962574742453713,0.0,0.0050432263,0.0050432263,26,4.551902275281746E-4,0,0.0,0,0.014532207952906079
