id,label,timeset,v_name,modularity_class,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,pageranks,componentnumber,clustering,triangles,eigencentrality
n0,A,,A,32,3,133.0,6.0,0.3314720812182741,0.3579887697805018,5.618472124380209E-4,0.023323372,0.023323372,8.365102302265908E-4,0,0.0,0,0.058860802464983125
n1,AA＝,,AA＝,32,1,11.0,7.0,0.27657772130453195,0.29679865820754014,0.0,0.005029681,0.005029681,4.6123574067103085E-4,0,0.0,0,0.014561169974932881
n2,B,,B,32,4,123.0,6.0,0.3383419689119171,0.3665645737621251,7.645455063296191E-4,0.03178317,0.03178317,0.0010626740472885364,0,0.5,3,0.07895234032616404
n3,BUZZ,,BUZZ,41,1,6.0,6.0,0.3299646286003032,0.352194997447679,0.0,0.018960351,0.018960351,3.911678773603415E-4,0,0.0,0,0.04637986567976436
n4,B・B,,B・B,32,1,24.0,7.0,0.27657772130453195,0.29679865820754014,0.0,0.005029681,0.005029681,4.6123574067103085E-4,0,0.0,0,0.014561169974932881
n5,C,,C,32,2,71.0,7.0,0.2835432045158489,0.3052723692846206,7.739094963331413E-5,0.006980742,0.006980742,6.761828012154341E-4,0,0.0,0,0.019850880587655027
n6,CAFY,,CAFY,37,12,175.0,6.0,0.37789351851851855,0.4108473711077091,0.004249254754150015,0.07953194,0.07953194,0.002576766844014094,0,0.3333333333333333,22,0.19119374530399608
n7,CC,,CC,32,1,11.0,7.0,0.27657772130453195,0.29679865820754014,0.0,0.005029681,0.005029681,4.6123574067103085E-4,0,0.0,0,0.014561169974932881
n8,CLOUD,,CLOUD,18,1,8.0,7.0,0.2795376712328767,0.29465470721213494,0.0,0.006813067,0.006813067,3.7265756645716316E-4,0,0.0,0,0.01573572264895188
n9,CROWD,,CROWD,18,14,349.0,6.0,0.3541214750542299,0.3871618172537026,0.0014713900527495395,0.079883225,0.079883225,0.0028258364714529687,0,0.2967032967032967,27,0.18558756164426748
n10,CS,,CS,40,3,44.0,7.0,0.2733361239012139,0.28784000583388053,0.005206210693708596,0.004072544,0.004072544,0.0014301509287450596,0,0.0,0,0.010574569285519878
n11,Compliance,,Compliance,24,4,36.0,7.0,0.2627766599597586,0.2772733902136656,0.004218554140003002,0.0029791808,0.0029791808,0.001408524642341938,0,0.0,0,0.008660721375573097
n12,D,,D,32,2,19.0,7.0,0.2835432045158489,0.3052723692846206,7.739094963331413E-5,0.006980742,0.006980742,6.761828012154341E-4,0,0.0,0,0.019850880587655027
n13,DAU,,DAU,9,4,58.0,7.0,0.2688349114862083,0.28309268577262453,0.0026313220384912655,0.0035294408,0.0035294408,0.0013181321676423447,0,0.0,0,0.010100755725765721
n14,DD,,DD,32,3,44.0,7.0,0.28893805309734516,0.311142711295851,0.0010098291283789206,0.0064354953,0.0064354953,9.672710005722782E-4,0,0.0,0,0.019106506157097507
